© 2000-2026 QIAGEN. All rights reserved.

Analysis Details for My Projects->KKH_SCpops_tagseq->HCC1806_all_contrasts_compiled_noPooled_withshrinkage - 2026-08-10 11:12 AM->matched_F_C5C2_vs_MPV_lfc
Workspace	My Projects
Project	KKH_SCpops_tagseq
Analysis	matched_F_C5C2_vs_MPV_lfc
Date	Mon Aug 10 09:12:32 PDT 2026
Analysis ID	43603416

Analysis Settings
Cutoff before duplicate resolution	true
Resolve duplicate on	Expression logfoldchange
Color using	Expression logfoldchange
Cutoff for Expression logfoldchange	--
Cutoff for Expression pvalue	0.1
Reference set	Ingenuity Knowledge Base (Genes Only)
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	Yes
Optional Analyses	My Pathways My List
Filter Summary	
Consider only relationships where
(confidence = Experimentally Observed) AND
(data sources = An Open Access Database of Genome-wide Association Results OR BIND OR BioGRID OR Catalogue Of Somatic Mutations In Cancer (COSMIC) OR Chemical Carcinogenesis Research Information System (CCRIS) OR Clinical Genome Resource (ClinGen) OR ClinicalTrials.gov OR ClinVar OR Cognia OR DIP OR DrugBank OR Gene Ontology (GO) OR GVK Biosciences OR Hazardous Substances Data Bank (HSDB) OR HumanCyc OR Ingenuity Expert Findings OR Ingenuity ExpertAssist Findings OR IntAct OR Interactome studies OR MIPS OR miRBase OR miRecords OR Mouse Genome Database (MGD) OR Obesity Gene Map Database OR Online Mendelian Inheritance in Man (OMIM) OR Reactome OR TarBase OR TargetScan Human OR TargetScan Mouse)

Canonical Pathways for My Projects->KKH_SCpops_tagseq->HCC1806_all_contrasts_compiled_noPooled_withshrinkage - 2026-08-10 11:12 AM->matched_F_C5C2_vs_MPV_lfc
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
Systemic Lupus Erythematosus in B Cell Signaling Pathway	-0E00	3.299831645537222	2.75E-02	CALM2,CALML5,CBL,CTNNB1,IL18,IL1A,IL1B,IL6ST,IRF3,JUN,KRAS,MAP4K4,MAPK1,NFAT5,PPP3R1,RAC2,RRAS,RRAS2,STAT3,SYNJ2	
Systemic Lupus Erythematosus in T Cell Signaling Pathway	-0E00	-0.6546536707079772	3.26E-02	CBL,CD44,DNMT1,GADD45A,GNB1L,HLA-B,JUN,KRAS,MAPK1,MSN,PPP2R1A,PPP2R2B,PPP3R1,PTPA,RAC2,RHOB,RHOD,RND3,RRAS,RRAS2,STAT3	
T Cell Exhaustion Signaling Pathway	-0E00	0.0	2.82E-02	FOXP1,HLA-B,JUN,KRAS,MAPK1,MAPK8,NFAT5,PPP2R1A,PPP2R2B,PTPA,RRAS,RRAS2,SMAD3,STAT3,TGFBR2,VEGFA	
T Cell Receptor Signaling	-0E00	1.885618083164127	3.22E-02	CALM2,CALML5,CBL,CTNNB1,DUSP5,DUSP6,FYB1,GNB1L,HLA-B,ITGA2,ITGA3,JUN,KRAS,MAPK1,MAPK8,NFAT5,NFKBIB,PPP3R1,RRAS,RRAS2	
T Helper Cell Differentiation	-0E00		1.05E-02	HLA-B,IL18,IL6ST,STAT3,TGFBR2	
TEC Kinase Signaling	-0E00	1.2649110640673518	3.45E-02	ACTB,GNB1,GNB1L,GNB4,GNG12,GNG5,ITGA2,ITGA3,ITGA6,ITGAV,ITGB4,ITGB5,MAPK8,PAK1,RAC2,RHOB,RHOD,RND3,STAT3,TNFRSF21	
TNFs bind their physiological receptors	-0E00		3.45E-02	TNFRSF8	
TRIM21 Intracellular Antibody Signaling Pathway	-0E00	-2.182820625326997	3.16E-02	CTNNB1,DDX41,IL1B,IRF3,JUN,MAP1LC3B,PSMA2,PSMA4,PSMB5,PSMB6,PSMC3,PSMC4,PSMC5,PSMD14,PSMD8,PSME1,PSME2,SEM1	
Th17 Activation Pathway	-0E00	1.3416407864998738	1.02E-02	AHR,IL1B,NFAT5,SOCS3,STAT3	
Thyroid Hormone Metabolism II (via Conjugation and/or Degradation)	-0E00		1.59E-02	EXT2	
