image_name,cell_number,slide_alpha,cell_slide_replicate,count,notes,clone,week,,,,,,,,,,,,,,,,,,,,
03_31_22_01cell_c.3,1,c,3,89,,1806_01,5,,,,,,,,,,,,,,,,,,,,
03_31_22_01cell_c.4,1,c,4,84,,1806_01,5,,,,,,,,,,,,,,,,,,,,
03_31_22_07cell_a.1,7,a,1,31,,1806_07,5,,,,,,,,,,,,,,,,,,,,
03_31_22_07cell_a.2,7,a,2,44,,1806_07,5,,,,,,,,,,,,,,,,,,,,
03_31_22_07cell_a.3,7,a,3,42,,1806_07,5,,,,,,,,,,,,,,,,,,,,
03_31_22_07cell_a.4,7,a,4,52,,1806_07,5,,,,,,,,,,,,,,,,,,,,
03_31_22_07cell_b.1,7,b,1,16,,1806_07,5,,,,,,,,,,,,,,,,,,,,
03_31_22_07cell_b.2,7,b,2,41,,1806_07,5,,,,,,,,,,,,,,,,,,,,
03_31_22_07cell_b.3,7,b,3,24,,1806_07,5,,,,,,,,,,,,,,,,,,,,
03_31_22_07cell_c.1,7,c,1,42,,1806_07,5,,,,,,,,,,,,,,,,,,,,
03_31_22_07cell_c.2,7,c,2,19,,1806_07,5,,,,,,,,,,,,,,,,,,,,
03_31_22_07cell_c.3,7,c,3,18,,1806_07,5,,,,,,,,,,,,,,,,,,,,
03_31_22_07cell_c.4,7,c,4,30,,1806_07,5,,,,,,,,,,,,,,,,,,,,
03_31_22_10cell_a.1,10,a,1,70,,1806_10,5,,,,,,,,,,,,,,,,,,,,
03_31_22_10cell_a.2,10,a,2,94,,1806_10,5,,,,,,,,,,,,,,,,,,,,
03_31_22_10cell_a.3,10,a,3,92,,1806_10,5,,,,,,,,,,,,,,,,,,,,
03_31_22_10cell_a.4,10,a,4,75,,1806_10,5,,,,,,,,,,,,,,,,,,,,
03_31_22_10cell_b.1,10,b,1,100,,1806_10,5,,,,,,,,,,,,,,,,,,,,
03_31_22_10cell_b.2,10,b,2,93,,1806_10,5,,,,,,,,,,,,,,,,,,,,
03_31_22_10cell_b.3,10,b,3,86,,1806_10,5,,,,,,,,,,,,,,,,,,,,
03_31_22_10cell_b.4,10,b,4,97,,1806_10,5,,,,,,,,,,,,,,,,,,,,
03_31_22_10cell_c.1,10,c,1,77,,1806_10,5,,,,,,,,,,,,,,,,,,,,
03_31_22_10cell_c.2,10,c,2,78,,1806_10,5,,,,,,,,,,,,,,,,,,,,
03_31_22_10cell_c.3,10,c,3,72,,1806_10,5,,,,,,,,,,,,,,,,,,,,
03_31_22_10cell_c.4,10,c,4,29,,1806_10,5,,,,,,,,,,,,,,,,,,,,
03_31_22_13cell_a.1,13,a,1,11,,1806_13,5,,,,,,,,,,,,,,,,,,,,
03_31_22_13cell_a.2,13,a,2,34,,1806_13,5,,,,,,,,,,,,,,,,,,,,
03_31_22_13cell_a.3,13,a,3,40,,1806_13,5,,,,,,,,,,,,,,,,,,,,
03_31_22_13cell_a.4,13,a,4,40,,1806_13,5,,,,,,,,,,,,,,,,,,,,
04_1_22_13cell_b.1,13,b,1,24,,1806_13,5,,,,,,,,,,,,,,,,,,,,
04_1_22_13cell_b.2,13,b,2,40,,1806_13,5,,,,,,,,,,,,,,,,,,,,
04_1_22_13cell_b.3,13,b,3,30,,1806_13,5,,,,,,,,,,,,,,,,,,,,
04_1_22_13cell_b.4,13,b,4,35,,1806_13,5,,,,,,,,,,,,,,,,,,,,
04_1_22_13cell_c.1,13,c,1,37,,1806_13,5,,,,,,,,,,,,,,,,,,,,
04_1_22_13cell_c.2,13,c,2,39,,1806_13,5,,,,,,,,,,,,,,,,,,,,
04_1_22_13cell_c.3,13,c,3,12,,1806_13,5,,,,,,,,,,,,,,,,,,,,
04_1_22_13cell_c.4,13,c,4,25,,1806_13,5,,,,,,,,,,,,,,,,,,,,
04_4_22_04cell_a.1,04,a,1,47,,1806_04,5,,,,,,,,,,,,,,,,,,,,
04_4_22_04cell_a.2,04,a,2,38,,1806_04,5,,,,,,,,,,,,,,,,,,,,
04_4_22_04cell_a.3,04,a,3,48,,1806_04,5,,,,,,,,,,,,,,,,,,,,
04_4_22_04cell_a.4,04,a,4,52,,1806_04,5,,,,,,,,,,,,,,,,,,,,
04_4_22_04cell_b.1,04,b,1,42,,1806_04,5,,,,,,,,,,,,,,,,,,,,
04_4_22_04cell_b.2,04,b,2,24,,1806_04,5,,,,,,,,,,,,,,,,,,,,
04_4_22_04cell_b.3,04,b,3,43,,1806_04,5,,,,,,,,,,,,,,,,,,,,
04_4_22_04cell_b.4,04,b,4,26,,1806_04,5,,,,,,,,,,,,,,,,,,,,
04_4_22_04cell_c.1,04,c,1,23,,1806_04,5,,,,,,,,,,,,,,,,,,,,
04_4_22_04cell_c.2,04,c,2,26,,1806_04,5,,,,,,,,,,,,,,,,,,,,
04_4_22_04cell_c.3,04,c,3,46,,1806_04,5,,,,,,,,,,,,,,,,,,,,
04_4_22_04cell_c.4,04,c,4,18,,1806_04,5,,,,,,,,,,,,,,,,,,,,
04_4_22_08cell_a.1,08,a,1,44,,1806_08,5,,,,,,,,,,,,,,,,,,,,
04_4_22_08cell_a.2,08,a,2,44,,1806_08,5,,,,,,,,,,,,,,,,,,,,
04_4_22_08cell_a.3,08,a,3,46,,1806_08,5,,,,,,,,,,,,,,,,,,,,
04_4_22_08cell_a.4,08,a,4,50,,1806_08,5,,,,,,,,,,,,,,,,,,,,
04_4_22_08cell_b.1,08,b,1,34,,1806_08,5,,,,,,,,,,,,,,,,,,,,
04_4_22_08cell_b.2,08,b,2,27,,1806_08,5,,,,,,,,,,,,,,,,,,,,
04_4_22_08cell_b.3,08,b,3,61,,1806_08,5,,,,,,,,,,,,,,,,,,,,
